jogo_id,data,mandante,visitante,minuto,placar_mandante,placar_visitante,odd_mandante,odd_empate,odd_visitante,gol_no_minuto,quem_marcou,competicao,temporada
1,2024-09-15,Ceará,Fortaleza,0,0,0,2.21,2.86,2.94,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,1,0,0,2.26,2.79,2.93,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,2,0,0,2.2,2.74,2.93,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,3,0,0,2.14,2.69,2.96,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,4,0,0,2.15,2.64,2.98,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,5,0,0,2.19,2.56,3.03,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,6,0,0,2.22,2.54,2.97,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,7,0,0,2.28,2.52,2.9,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,8,0,0,2.22,2.57,2.92,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,9,0,0,2.26,2.61,2.93,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,10,0,0,2.32,2.59,2.94,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,11,0,0,2.37,2.61,3.0,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,12,0,0,2.38,2.64,2.92,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,13,0,0,2.34,2.61,2.85,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,14,0,0,2.3,2.55,2.81,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,15,0,0,2.32,2.53,2.79,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,16,0,0,2.28,2.49,2.86,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,17,0,0,2.3,2.51,2.8,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,18,0,0,2.33,2.46,2.78,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,19,0,0,2.4,2.48,2.79,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,20,0,0,2.43,2.53,2.84,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,21,0,0,2.39,2.46,2.81,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,22,0,0,2.36,2.42,2.88,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,23,1,0,1.7,3.62,5.15,1,Ceará,Série B,2024
1,2024-09-15,Ceará,Fortaleza,24,1,0,1.68,3.56,5.17,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,25,1,0,1.66,3.58,5.29,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,26,1,0,1.65,3.52,5.45,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,27,1,0,1.65,3.43,5.3,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,28,1,0,1.61,3.46,5.39,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,29,1,0,1.6,3.37,5.35,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,30,1,0,1.65,3.38,5.5,0,,Série B,2024
1,2024-09-15,Ceará,Fortaleza,31,1,0,1.69,3.28,5.57,0,,Série B,2024
